s,x,y,kappa,n_l,n_r
8.8,3.902,0.924,-0.114,0.509,0.482
8.85,3.852,0.919,-0.117,0.508,0.48
8.9,3.802,0.914,-0.119,0.507,0.478
8.95,3.752,0.909,-0.121,0.506,0.476
9.0,3.703,0.904,-0.123,0.506,0.475
9.05,3.653,0.9,-0.125,0.506,0.475
9.1,3.603,0.896,-0.128,0.507,0.474
9.15,3.553,0.893,-0.13,0.507,0.474
9.2,3.503,0.889,-0.134,0.508,0.474
9.25,3.453,0.886,-0.137,0.51,0.475
9.3,3.403,0.884,-0.141,0.512,0.475
9.35,3.353,0.882,-0.145,0.514,0.477
9.4,3.303,0.88,-0.15,0.516,0.478
9.45,3.253,0.878,-0.155,0.519,0.48
9.5,3.203,0.877,-0.16,0.523,0.482
9.55,3.153,0.876,-0.166,0.526,0.485
9.6,3.103,0.876,-0.172,0.53,0.487
9.65,3.053,0.876,-0.178,0.534,0.49
9.7,3.003,0.877,-0.184,0.539,0.494
9.75,2.953,0.878,-0.191,0.544,0.497
9.8,2.903,0.879,-0.197,0.549,0.501
9.85,2.854,0.881,-0.203,0.554,0.506
9.9,2.804,0.884,-0.209,0.559,0.51
9.95,2.754,0.887,-0.214,0.565,0.515
10.0,2.704,0.89,-0.219,0.571,0.52
10.05,2.654,0.895,-0.224,0.577,0.525
10.1,2.604,0.899,-0.228,0.582,0.53
10.15,2.554,0.904,-0.231,0.588,0.536
10.2,2.505,0.91,-0.233,0.594,0.542
10.25,2.455,0.917,-0.234,0.6,0.548
10.3,2.406,0.924,-0.234,0.605,0.554
10.35,2.356,0.931,-0.232,0.611,0.56
10.4,2.307,0.939,-0.229,0.616,0.566
10.45,2.258,0.948,-0.225,0.621,0.572
10.5,2.209,0.957,-0.219,0.625,0.578
10.55,2.16,0.967,-0.211,0.629,0.583
10.6,2.111,0.977,-0.201,0.633,0.589
10.65,2.062,0.988,-0.19,0.636,0.595
10.7,2.013,0.999,-0.177,0.639,0.6
10.75,1.964,1.011,-0.163,0.642,0.604
10.8,1.916,1.023,-0.148,0.644,0.609
10.85,1.868,1.036,-0.131,0.645,0.613
10.9,1.819,1.048,-0.114,0.647,0.616
10.95,1.771,1.061,-0.097,0.647,0.619
11.0,1.723,1.075,-0.08,0.647,0.621
11.05,1.675,1.088,-0.064,0.647,0.623
11.1,1.626,1.102,-0.049,0.647,0.624
11.15,1.578,1.116,-0.036,0.646,0.625
11.2,1.53,1.129,-0.025,0.645,0.624
11.25,1.482,1.143,-0.016,0.644,0.623
11.3,1.434,1.157,-0.011,0.643,0.622
11.35,1.386,1.171,-0.01,0.642,0.619
11.4,1.338,1.185,-0.013,0.641,0.616
11.45,1.29,1.199,-0.02,0.64,0.613
11.5,1.242,1.213,-0.033,0.639,0.608
11.55,1.194,1.227,-0.05,0.638,0.603
11.6,1.146,1.242,-0.073,0.638,0.598
11.65,1.098,1.256,-0.102,0.638,0.592
11.7,1.051,1.271,-0.137,0.638,0.585
11.75,1.003,1.286,-0.177,0.638,0.578
11.8,0.955,1.301,-0.224,0.638,0.571
11.85,0.908,1.317,-0.277,0.639,0.563
11.9,0.861,1.333,-0.336,0.64,0.555
11.95,0.814,1.351,-0.401,0.641,0.547
12.0,0.767,1.369,-0.472,0.643,0.539
12.05,0.721,1.388,-0.548,0.644,0.53
12.1,0.676,1.409,-0.629,0.646,0.522
12.15,0.631,1.431,-0.713,0.648,0.513
12.2,0.587,1.455,-0.798,0.649,0.505
12.25,0.544,1.48,-0.884,0.651,0.497
12.3,0.502,1.507,-0.968,0.652,0.489
12.35,0.461,1.537,-1.048,0.654,0.482
12.4,0.422,1.568,-1.12,0.655,0.475
12.45,0.385,1.601,-1.185,0.656,0.468
12.5,0.35,1.637,-1.24,0.656,0.461
12.55,0.317,1.675,-1.287,0.657,0.455
12.6,0.287,1.715,-1.326,0.657,0.449
12.65,0.259,1.756,-1.36,0.657,0.443
12.7,0.235,1.8,-1.393,0.656,0.438
12.75,0.213,1.845,-1.428,0.655,0.433
12.8,0.195,1.891,-1.469,0.654,0.428
12.85,0.18,1.939,-1.521,0.652,0.424
12.9,0.169,1.988,-1.585,0.65,0.42
12.95,0.161,2.037,-1.664,0.647,0.416
13.0,0.158,2.087,-1.757,0.644,0.412
13.05,0.159,2.137,-1.86,0.64,0.409
13.1,0.165,2.187,-1.965,0.636,0.406
13.15,0.176,2.236,-2.06,0.631,0.403
13.2,0.191,2.283,-2.129,0.626,0.4
13.25,0.212,2.329,-2.158,0.621,0.398
13.3,0.237,2.372,-2.136,0.615,0.396
13.35,0.267,2.412,-2.062,0.609,0.394
13.4,0.301,2.448,-1.943,0.602,0.392
13.45,0.338,2.482,-1.793,0.596,0.391
13.5,0.378,2.512,-1.628,0.589,0.39
13.55,0.421,2.538,-1.46,0.581,0.389
13.6,0.465,2.561,-1.299,0.574,0.389
13.65,0.511,2.582,-1.152,0.567,0.388
13.7,0.558,2.599,-1.019,0.56,0.389
13.75,0.605,2.615,-0.902,0.553,0.39
13.8,0.653,2.628,-0.8,0.547,0.391
13.85,0.702,2.639,-0.711,0.54,0.392
13.9,0.751,2.649,-0.633,0.535,0.394
13.95,0.801,2.657,-0.565,0.529,0.397
14.0,0.85,2.663,-0.506,0.524,0.399
14.05,0.9,2.668,-0.454,0.52,0.403
14.1,0.95,2.673,-0.408,0.517,0.406
14.15,1.0,2.676,-0.368,0.514,0.41
14.2,1.05,2.678,-0.333,0.512,0.414
14.25,1.1,2.679,-0.302,0.51,0.418
14.3,1.15,2.68,-0.275,0.509,0.423
14.35,1.2,2.68,-0.251,0.509,0.428
14.4,1.25,2.679,-0.231,0.509,0.433
14.45,1.299,2.678,-0.215,0.51,0.438
14.5,1.349,2.676,-0.202,0.512,0.443
14.55,1.399,2.674,-0.192,0.514,0.448
14.6,1.449,2.671,-0.185,0.517,0.454
14.65,1.499,2.668,-0.181,0.52,0.459
14.7,1.549,2.665,-0.181,0.523,0.464
14.75,1.599,2.661,-0.183,0.526,0.469
14.8,1.649,2.656,-0.189,0.53,0.474
14.85,1.698,2.651,-0.198,0.534,0.479
14.9,1.748,2.646,-0.211,0.537,0.484
14.95,1.798,2.64,-0.226,0.541,0.489
15.0,1.847,2.633,-0.244,0.544,0.494
15.05,1.897,2.626,-0.265,0.547,0.498
15.1,1.946,2.618,-0.287,0.549,0.502
15.15,1.995,2.609,-0.311,0.551,0.506
15.2,2.045,2.6,-0.336,0.552,0.51
15.25,2.094,2.59,-0.361,0.551,0.513
15.3,2.142,2.579,-0.384,0.55,0.516
15.35,2.191,2.567,-0.403,0.548,0.519
15.4,2.239,2.554,-0.419,0.545,0.521
15.45,2.287,2.54,-0.428,0.541,0.523
15.5,2.335,2.525,-0.429,0.535,0.524
15.55,2.382,2.509,-0.42,0.528,0.525
15.6,2.429,2.492,-0.4,0.52,0.526
15.65,2.476,2.474,-0.367,0.511,0.526
15.7,2.522,2.455,-0.322,0.501,0.526
15.75,2.568,2.436,-0.263,0.49,0.525
15.8,2.614,2.416,-0.19,0.478,0.524
15.85,2.66,2.395,-0.106,0.466,0.523
15.9,2.705,2.374,-0.009,0.454,0.521
15.95,2.751,2.353,0.097,0.441,0.519
16.0,2.796,2.333,0.212,0.428,0.517
16.05,2.842,2.313,0.331,0.415,0.514
16.1,2.888,2.293,0.454,0.403,0.512
16.15,2.934,2.275,0.574,0.392,0.509
16.2,2.981,2.258,0.689,0.381,0.507
16.25,3.029,2.242,0.794,0.372,0.504
16.3,3.077,2.229,0.884,0.364,0.501
16.35,3.126,2.218,0.955,0.357,0.499
16.4,3.175,2.209,1.005,0.351,0.497
16.45,3.225,2.202,1.032,0.348,0.495
16.5,3.274,2.198,1.037,0.346,0.494
16.55,3.324,2.197,1.022,0.345,0.492
16.6,3.374,2.198,0.989,0.347,0.492
