s,x,y,kappa
2.17,2.223720336620705,-0.12246236391032814,-0.014250279580306382
2.18,2.2336780315065297,-0.12338122704069797,-0.0015098921840993942
2.19,2.243635573727843,-0.12430173010430771,0.013221558997502277
2.2,2.253593187816136,-0.1252214635198154,0.029263385957678155
2.21,2.2635510964843886,-0.12613803451080846,0.045996985841578984
2.22,2.273509487023516,-0.12704937763677537,0.06289293639045501
2.23,2.2834685145322986,-0.1279537249453095,0.07952117232175232
2.24,2.2934283329388383,-0.12884931930226187,0.09554705230132901
2.25,2.3033890954450604,-0.12973440842897327,0.11071791141034171
2.26,2.3133509310128213,-0.1306074021251424,0.12484500588597358
2.27,2.323313939246758,-0.13146690648403667,0.13778516175063157
2.28,2.3332782179901157,-0.1323115393762444,0.1494252325614311
2.29,2.3432438646431852,-0.1331399223477431,0.1596709483451092
2.3,2.3532109491996223,-0.1339509043474362,0.16844028561807878
2.31,2.36317949868907,-0.1347436908124821,0.17566055107934975
2.32,2.373149536388221,-0.13551751831965297,0.18126779471286636
2.33,2.383121085419351,-0.13627162520387112,0.18520689796494916
2.34,2.3930941482715062,-0.13700548472600443,0.18743135601546806
2.35,2.4030686862674333,-0.13771903885836814,0.1879023594375308
2.36,2.4130446558438625,-0.1384122852045037,0.18658700923594704
2.37,2.4230220134121216,-0.13908522184003058,0.18345575313597834
2.38,2.4330007052704508,-0.13973803476955854,0.1784796321722611
2.39,2.442980652213559,-0.1403713839235776,0.17162860277858794
2.4,2.4529617710782987,-0.140986002780498,0.16287229033479336
2.41,2.4629439787001037,-0.14158262487070233,0.15218426633094173
2.42,2.4729271878853836,-0.1421621314793152,0.13955064866830968
2.43,2.482911298590291,-0.14272587514399057,0.12498345944826104
2.44,2.4928962082146446,-0.14327530214970152,0.10853823740114854
2.45,2.5028818141582647,-0.14381185878142122,0.0903341411613652
2.46,2.5128680085084514,-0.1443371794790831,0.07057376896965409
2.47,2.522854661855444,-0.14485366004984032,0.049559143794554734
2.48,2.5328416393527564,-0.14536388885485263,0.02769999809367533
2.49,2.542828806153902,-0.14587045425529063,0.005510937260536251
2.5,2.5528160238693602,-0.14637601706078018,-0.016404717345085126
2.51,2.5628031359229806,-0.1468836099637806,-0.03738472805101569
2.52,2.5727899799192775,-0.14739638465135516,-0.056749322570117756
2.53,2.582776393460156,-0.14791749286388584,-0.07384968671084727
2.54,2.5927622221543105,-0.1484498758488227,-0.08811740032953345
2.55,2.602747363648546,-0.1489951068075074,-0.09910812535332071
2.56,2.6127317363866607,-0.1495542122025898,-0.10653349723565707
2.57,2.622715258867122,-0.1501282170596082,-0.11027685019546637
2.58,2.632697860608428,-0.15071796498598686,-0.11039094274059122
2.59,2.642679561397991,-0.15132281353066418,-0.10707877391616018
2.6,2.6526604252127757,-0.15194139276889554,-0.10066116020023479
2.61,2.6626405163318716,-0.15257232780216964,-0.0915364627914097
2.62,2.672619901783366,-0.15321422189775982,-0.0801385775661671
2.63,2.682598676907778,-0.1538654534483714,-0.0668989686437723
2.64,2.6925769537179254,-0.1545242684251329,-0.052217111183521604
2.65,2.702554844440937,-0.15518891109701363,-0.03644147994265557
2.66,2.7125324617610875,-0.15585762338112555,-0.019860986507458826
2.67,2.722509924324116,-0.15652861652510608,-0.0027052278704124575
2.68,2.7324873549532525,-0.15720008028497753,0.014849012002389679
2.69,2.742464876557875,-0.15787020397355142,0.03266790207949949
2.7,2.7524426118710297,-0.15853717547976628,0.05064987937247021
2.71,2.762420680653253,-0.15919915869005652,0.06871583202273622
2.72,2.7723992001929894,-0.15985429752911964,0.08680114042146632
2.73,2.7823782877034975,-0.16050073531455206,0.10484989531330667
2.74,2.7923580597807605,-0.1611366163998532,0.12281097969543499
2.75,2.8023386190247663,-0.16176010862637932,0.14063564754526636
2.76,2.8123200541504656,-0.16236940313713333,0.1582763135820848
2.77,2.8223024532777234,-0.16296269207377828,0.1756860939312685
2.78,2.8322859038938937,-0.16353816919933217,0.1928185893695053
2.79,2.842270472807195,-0.16409408128468347,0.20962777874020705
2.8,2.8522562020284403,-0.1646287386651631,0.22606805088680562
2.81,2.862243132103751,-0.16514045543062517,0.2420942823822381
2.82,2.8722313031496713,-0.16562754709301286,0.2576619100516817
2.83,2.882220732370959,-0.16608840501266411,0.27272701249312437
2.84,2.8922114030141057,-0.16652153296716266,0.28724639582684763
2.85,2.9022032955789387,-0.16692544382679506,0.3011776187512215
2.86,2.912196390382863,-0.1672986512665401,0.31447898630390664
2.87,2.922190647546133,-0.16763975805399048,0.3271096192766364
2.88,2.932185988933696,-0.16794753570654367,0.33902956071018453
2.89,2.9421823321477003,-0.1682207745454307,0.3501997999333046
2.9,2.9521795947561236,-0.16845826509307274,0.3605821753802815
2.91,2.9621776801888906,-0.16865888111242708,0.37013905653874657
2.92,2.9721764559881336,-0.16882170766281795,0.37883229103355714
2.93,2.982175784086621,-0.16894586282978843,0.3866207282993333
2.94,2.992175526416917,-0.1690304647015607,0.39345590800488417
2.95,3.0021755385564153,-0.16907471485146017,0.39927579218425635
2.96,3.012175653042707,-0.1690781175166532,0.40399697708421994
2.97,3.0221756971938447,-0.1690402455010735,0.4075066448941552
2.98,3.032175498327883,-0.16896067160865494,0.40965622011230984
2.99,3.0421748819752827,-0.16883899842635774,0.41025909861135973
3.0,3.0521736637312507,-0.16867499407210104,0.4090946403534079
3.01,3.0621716557592733,-0.16846848383956547,0.4059197753296475
3.02,3.072168670219576,-0.16821929307678687,0.4004882470198141
3.03,3.0821645225391654,-0.16792732722283357,0.39257586016122464
3.04,3.09215905894841,-0.16759324691638816,0.38200837290292616
3.05,3.102152142602226,-0.16721812773176753,0.3686873355953484
3.06,3.1121436368304805,-0.16680304953257896,0.3526087539468902
3.07,3.1221334100732476,-0.16634914526000572,0.33387017981572836
3.08,3.132121430725595,-0.16585858604661452,0.31266373170367273
3.09,3.142107758248786,-0.16533448889202493,0.28925542177598385
3.1,3.1520924554316916,-0.1647800053583444,0.26395429076397847
3.11,3.162075585556738,-0.16419828569776312,0.23707726765408335
3.12,3.172057244703232,-0.16359239311842314,0.20891659622602643
3.13,3.1820375817058792,-0.1629652508138054,0.17971553176848037
3.14,3.192016750169585,-0.16231976931712294,0.1496554359433732
3.15,3.201994903705304,-0.16165885918785863,0.11885453608005846
3.16,3.211972209866165,-0.16098549150236655,0.08737557018714334
3.17,3.2219488798984046,-0.16030282698965884,0.05523798998972524
3.18,3.2319251335846775,-0.15961406343161055,0.022431108770808124
3.19,3.241901190707637,-0.1589223986100967,-0.011073624911413551
3.2,3.2518772729879672,-0.15823106486107225,-0.04531211098368894
3.21,3.261853615243598,-0.1575435280380765,-0.08031777234447891
3.22,3.27183045771508,-0.156863350677302,-0.11610681554649815
3.23,3.281808040660291,-0.15619409562388567,-0.15265277216828904
3.24,3.2917866025602027,-0.1555393300924908,-0.18984648026673223
3.25,3.3017663511229136,-0.15490269697032924,-0.227438898134796
3.26,3.3117474680261365,-0.15428790315506286,-0.2649699718048667
3.27,3.3217301341275123,-0.1536986575609591,-0.30169392004673196
3.28,3.3317145298519493,-0.15313867614308527,-0.3365168103827879
3.29,3.341700801002593,-0.1526122381703937,-0.36796711775687463
3.3,3.3516890340413825,-0.15212458842378312,-0.3942235494816924
