s,x,y,kappa,n_l,n_r
10.6,2.111,0.977,-0.201,0.681,0.623
10.65,2.062,0.988,-0.19,0.694,0.638
10.7,2.013,0.999,-0.177,0.687,0.653
10.75,1.964,1.011,-0.163,0.7,0.643
10.8,1.916,1.023,-0.148,0.698,0.648
10.85,1.868,1.036,-0.131,0.702,0.667
10.9,1.819,1.048,-0.114,0.703,0.661
10.95,1.771,1.061,-0.097,0.7,0.664
11.0,1.723,1.075,-0.08,0.699,0.681
11.05,1.675,1.088,-0.064,0.698,0.673
11.1,1.626,1.102,-0.049,0.697,0.67
11.15,1.578,1.116,-0.036,0.681,0.674
11.2,1.53,1.129,-0.025,0.68,0.678
11.25,1.482,1.143,-0.016,0.669,0.68
11.3,1.434,1.157,-0.011,0.637,0.67
11.35,1.386,1.171,-0.01,0.646,0.672
11.4,1.338,1.185,-0.013,0.642,0.668
11.45,1.29,1.199,-0.02,0.628,0.658
11.5,1.242,1.213,-0.033,0.638,0.658
11.55,1.194,1.227,-0.05,0.623,0.65
11.6,1.146,1.242,-0.073,0.611,0.641
11.65,1.098,1.256,-0.102,0.627,0.627
11.7,1.051,1.271,-0.137,0.612,0.62
11.75,1.003,1.286,-0.177,0.613,0.62
11.8,0.955,1.301,-0.224,0.621,0.611
11.85,0.908,1.317,-0.277,0.6,0.602
11.9,0.861,1.333,-0.336,0.614,0.593
11.95,0.814,1.351,-0.401,0.626,0.578
12.0,0.767,1.369,-0.472,0.651,0.58
12.05,0.721,1.388,-0.548,0.641,0.581
12.1,0.676,1.409,-0.629,0.667,0.572
12.15,0.631,1.431,-0.713,0.661,0.556
12.2,0.587,1.455,-0.798,0.697,0.54
12.25,0.544,1.48,-0.884,0.722,0.52
12.3,0.502,1.507,-0.968,0.71,0.501
12.35,0.461,1.537,-1.048,0.73,0.483
12.4,0.422,1.568,-1.12,0.751,0.47
12.45,0.385,1.601,-1.185,0.749,0.456
12.5,0.35,1.637,-1.24,0.739,0.44
12.55,0.317,1.675,-1.287,0.721,0.423
12.6,0.287,1.715,-1.326,0.7,0.417
12.65,0.259,1.756,-1.36,0.682,0.419
12.7,0.235,1.8,-1.393,0.658,0.421
12.75,0.213,1.845,-1.428,0.657,0.424
12.8,0.195,1.891,-1.469,0.646,0.421
12.85,0.18,1.939,-1.521,0.636,0.419
12.9,0.169,1.988,-1.585,0.637,0.415
12.95,0.161,2.037,-1.664,0.66,0.412
13.0,0.158,2.087,-1.757,0.667,0.409
13.05,0.159,2.137,-1.86,0.679,0.408
13.1,0.165,2.187,-1.965,0.708,0.407
13.15,0.176,2.236,-2.06,0.746,0.41
13.2,0.191,2.283,-2.129,0.783,0.408
13.25,0.212,2.329,-2.158,0.814,0.406
13.3,0.237,2.372,-2.136,0.848,0.407
13.35,0.267,2.412,-2.062,0.829,0.402
13.4,0.301,2.448,-1.943,0.761,0.4
13.45,0.338,2.482,-1.793,0.702,0.393
13.5,0.378,2.512,-1.628,0.656,0.384
13.55,0.421,2.538,-1.46,0.626,0.383
13.6,0.465,2.561,-1.299,0.589,0.384
13.65,0.511,2.582,-1.152,0.562,0.38
13.7,0.558,2.599,-1.019,0.563,0.359
13.75,0.605,2.615,-0.902,0.534,0.346
