s,x,y,kappa,v_ref
8.594033740934867,-2.1743189770151754,2.701488722504764,0.14562153284066245,2.0
8.645188703678526,-2.2234901868673878,2.6870416636821957,0.14700757406355344,2.0
8.696343666422187,-2.2725532275144604,2.6722239164238717,0.1484433250161084,2.0
8.747498629165847,-2.3215041798723908,2.6570326689350905,0.14993034973224548,2.0
8.798653591909506,-2.3703390060766143,2.6414650250727902,0.15147179277747216,2.0
8.849808554653167,-2.4190535436582685,2.6255180029398146,0.1530737628403185,2.0
8.900963517396827,-2.467643499421979,2.6091885334892595,0.15473236043269037,2.0
8.952118480140486,-2.516104443370234,2.59247345936281,0.1564494661783152,2.0
9.003273442884147,-2.5644318021423844,2.5753695336204325,0.15822704896526482,2.0
9.054428405627807,-2.612620852094417,2.5578734184781653,0.16006716979348606,2.0
9.105583368371466,-2.6606667120332745,2.5399816840856984,0.16197198570498988,2.0
9.156738331115127,-2.70856433558702,2.5216908073548576,0.16394375377970424,2.0
9.207893293858787,-2.756308503191328,2.502997170851465,0.16598483518150825,2.0
9.259048256602446,-2.8038938136719453,2.4838970617646416,0.168097699233553,2.0
9.310203219346105,-2.8513146753927034,2.4643866709650104,0.1702893442228632,2.0
9.361358182089766,-2.898565296871204,2.4444620921371256,0.17256033384159755,2.0
9.412513144833426,-2.945639677074825,2.424119321118227,0.1749112073267527,2.0
9.463668107577085,-2.992531595244947,2.403354255391568,0.1773448778934018,2.0
9.514823070320746,-3.039234600128626,2.38216269371916,0.17986438333197907,2.0
9.565978033064406,-3.085741998664968,2.36054033597857,0.18247288931381506,2.0
9.617132995808065,-3.132046844101773,2.3384827832352477,0.1851736923987814,2.0
9.668287958551726,-3.1781419235162507,2.3159855380847563,0.187970222659173,2.0
9.719442921295386,-3.2240197447133903,2.2930440053032477,0.19086604583968125,2.0
9.770597884039045,-3.2696725224754584,2.269653492848782,0.193864864940297,2.0
9.821752846782704,-3.3150921641362787,2.245809213260916,0.19697052110299426,2.0
9.872907809526366,-3.3602702544544463,2.221506285511201,0.20018699367893836,2.0
9.924062772270025,-3.4051980397604575,2.1967397373630315,0.20351839930989568,2.0
9.975217735013684,-3.449866411354147,2.171504508305561,0.20696898987301102,2.0
10.026372697757346,-3.49426588813055,2.1457954531334167,0.21054314907996483,2.0
10.077527660501005,-3.538386598415016,2.1196073462514446,0.21424538754606326,2.0
10.128682623244664,-3.582218260991596,2.092934886791998,0.21808033606984933,2.0
10.179837585988325,-3.6257501653130157,2.065772704641271,0.2220527368918132,2.0
10.230992548731985,-3.668971150885941,2.038115367480807,0.22616743264051337,2.0
10.282147511475644,-3.711869585831844,2.009957388960793,0.23042935265079323,2.0
10.333302474219305,-3.754433344631951,1.981293238132939,0.23484349635720145,2.0
10.384457436962965,-3.796649785074607,1.9521173502826195,0.23941491334750029,2.0
10.435612399706624,-3.838505724435433,1.922424139312536,0.24414867975522245,2.0
10.486767362450284,-3.879987414934727,1.8922080118433908,0.24904987052706687,2.0
10.537922325193945,-3.9210805185335764,1.8614633832106762,0.25412352717308684,2.0
10.589077287937604,-3.961770081149991,1.8301846955506922,0.25937462051401744,2.0
10.640232250681263,-4.002040506399644,1.7983664381829687,0.26480800798321,2.0
10.691387213424925,-4.041875528992851,1.7660031705101333,0.27042838497757754,2.0
10.742542176168584,-4.081258187950675,1.733089547669496,0.27624022979088136,2.0
10.793697138912243,-4.120170799838845,1.6996203491827813,0.2822477416347175,2.0
10.844852101655905,-4.1585949322589615,1.6655905108609392,0.2884547712852387,2.0
10.896007064399564,-4.196511377882546,1.6309951602289652,0.2948647439258443,2.0
10.947162027143223,-4.233900129365204,1.5958296557403941,0.3014805737846719,2.0
10.998316989886884,-4.270740355507296,1.5600896300636486,0.3083116284989484,2.0
11.049471952630544,-4.307010378704921,1.5237710379127094,0.3153573216247225,2.0
11.100626915374203,-4.3426876550065145,1.4868702084247647,0.3226132144914714,2.0
11.151781878117863,-4.377748757406735,1.4493839022044903,0.3300787786665974,2.0
11.202936840861524,-4.41216936244574,1.4113093734971647,0.3377523593839901,2.0
11.254091803605183,-4.4459242411390205,1.372644437567428,0.34563103498923303,2.0
11.305246766348843,-4.478987255104134,1.333387543381892,0.35371046941046447,2.0
11.356401729092504,-4.511331358760843,1.2935378516885625,0.36198860142135647,2.0
11.407556691836163,-4.542928607535969,1.2530953196932877,0.37045446651159597,2.0
11.458711654579822,-4.573750175622902,1.2120607902426828,0.3790938368379219,1.9865532719518668
11.509866617323484,-4.603766384403961,1.170436084514371,0.38789428785521346,1.9639473793752644
11.561021580067143,-4.632946740678831,1.128224099759867,0.3968411284951062,1.9417387179773515
11.612176542810802,-4.661259986830377,1.0854289108160435,0.40591181590525977,1.9199745808867832
11.663331505554462,-4.68867416312638,1.0420558775032425,0.41507937165190306,1.8987051880661385
11.714486468298123,-4.715156686315708,0.998111752578725,0.4243250342838508,1.8779548931824586
11.765641431041782,-4.740674445737945,0.9536047855758076,0.4336225963457175,1.8577594476825297
11.816796393785442,-4.765193914647776,0.9085448276490454,0.44293205028222665,1.8381772178497735
11.867951356529103,-4.788681279004716,0.8629434373914204,0.45219134806232103,1.8193021153459283
11.919106319272762,-4.8111025862896835,0.8168139825125916,0.46139291320071935,1.8011092011687486
11.970261282016422,-4.832423913625516,0.7701717225374831,0.4704982829253109,1.7836332994173554
12.021416244760083,-4.8526115528577325,0.7230338860925201,0.4794143034429094,1.7670045382139155
12.072571207503742,-4.871632216620589,0.6754197444210839,0.4880987788690233,1.7512467417146143
12.123726170247402,-4.88945326089199,0.6273506584184402,0.49653972691662057,1.7363279163213394
12.174881132991063,-4.906042918353241,0.5788500992010039,0.5046555340180855,1.7223374593283929
12.226036095734722,-4.921370549517308,0.5299436599871941,0.5123194925962338,1.7094316923044328
12.277191058478381,-4.935406906592659,0.48065904264400744,0.5195767102101684,1.6974745131348885
12.32834602122204,-4.948124388938291,0.43102599811191383,0.5263515649767223,1.6865355886527313
12.379500983965702,-4.95949730926274,0.3810762532670618,0.532459762537285,1.676852242001557
12.430655946709361,-4.969502163837522,0.33084341065487455,0.5380030973555588,1.6682072300460147
12.48181090945302,-4.978117867628338,0.2803627970394547,0.5428965865291194,1.6606857646537463
12.532965872196682,-4.985325991395974,0.22967129737820524,0.5469588372192647,1.654518630410098
12.584120834940341,-4.991110985899192,0.178807160765413,0.550329457709766,1.6494533250668917
12.635275797684,-4.995460345309286,0.12780976580067938,0.5528998824844202,1.6456216525344718
12.686430760427662,-4.998364768100948,0.0767193765439449,0.5545587973713645,1.643162878374236
12.737585723171321,-4.9998182800727005,0.02557687628378716,0.555455381960287,1.6418385777432065
12.78874068591498,-4.999818285208089,-0.02557651530571843,0.5554554432205611,1.6418384873680605
12.83989564865864,-4.998365614295735,-0.0766995273280544,0.5545594762035018,1.643161874492422
12.891050611402301,-4.995464511790973,-0.12775112713105782,0.5529015965157364,1.6456191063699122
12.94220557414596,-4.991122561691918,-0.17869080027358344,0.5503368957647647,1.6494421986884258
12.99336053688962,-4.985350611720687,-0.22947882622910035,0.5469732410475755,1.6544968852251947
13.044515499633281,-4.97816262829857,-0.28007653226537826,0.5429190476865083,1.6606514752594093
13.09567046237694,-4.969575516004595,-0.3304465217896889,0.5380458662177902,1.6681410494620155
13.1468254251206,-4.959608936497366,-0.38055289200993286,0.5325207744193019,1.6767563592907702
13.197980387864261,-4.948285072631264,-0.43036140841272774,0.5264321541202945,1.686406736391946
13.24913535060792,-4.93562838139797,-0.4798396493888479,0.5196955567632146,1.6972807813995388
13.30029031335158,-4.921665351978914,-0.5289571366578849,0.5124696417908629,1.7091817373532336
13.351445276095241,-4.9064242352683705,-0.5776854156276001,0.504838005861009,1.7220267803814429
13.4026002388389,-4.8899347779468005,-0.6259981072335308,0.496775282804165,1.7359170374813093
13.45375520158256,-4.872227969922875,-0.6738709477672766,0.4883771334758779,1.7507486218579793
13.504910164326219,-4.853335788812315,-0.721281787727255,0.4797356674207682,1.766413832575236
13.55606512706988,-4.833290956757032,-0.7682105633695573,0.47087966111409996,1.7829123779696763
13.60722008981354,-4.812126716363706,-0.8146392606225547,0.46182452072456825,1.8002691920863831
13.658375052557199,-4.789876620076524,-0.8605518603444289,0.45267230819630333,1.818337494178827
