s,x,y,kappa,n_l,n_r
2.84,2.867,0.096,0.0,0.669,0.664
2.85,2.877,0.096,0.004,0.67,0.663
2.86,2.887,0.096,0.007,0.67,0.663
2.87,2.897,0.095,0.011,0.671,0.662
2.88,2.907,0.095,0.014,0.671,0.661
2.89,2.917,0.095,0.017,0.672,0.661
2.9,2.927,0.094,0.021,0.672,0.66
2.91,2.937,0.094,0.024,0.673,0.659
2.92,2.947,0.094,0.027,0.673,0.659
2.93,2.957,0.094,0.031,0.674,0.658
2.94,2.967,0.093,0.034,0.674,0.657
2.95,2.977,0.093,0.037,0.675,0.657
2.96,2.987,0.093,0.04,0.675,0.656
2.97,2.997,0.093,0.044,0.675,0.655
2.98,3.007,0.092,0.047,0.675,0.655
2.99,3.017,0.092,0.05,0.674,0.654
3.0,3.027,0.092,0.053,0.674,0.653
3.01,3.037,0.092,0.056,0.674,0.653
3.02,3.047,0.091,0.059,0.673,0.652
3.03,3.057,0.091,0.063,0.673,0.651
3.04,3.067,0.091,0.066,0.672,0.651
3.05,3.077,0.091,0.069,0.672,0.65
3.06,3.087,0.09,0.072,0.671,0.65
3.07,3.097,0.09,0.075,0.671,0.649
3.08,3.107,0.09,0.078,0.671,0.648
3.09,3.117,0.09,0.081,0.67,0.648
3.1,3.127,0.09,0.084,0.67,0.647
3.11,3.137,0.089,0.087,0.669,0.647
3.12,3.147,0.089,0.09,0.669,0.646
3.13,3.157,0.089,0.093,0.668,0.645
3.14,3.167,0.089,0.096,0.668,0.645
3.15,3.177,0.089,0.099,0.667,0.644
3.16,3.187,0.089,0.102,0.667,0.644
3.17,3.197,0.088,0.104,0.666,0.643
3.18,3.207,0.088,0.107,0.666,0.643
3.19,3.217,0.088,0.11,0.665,0.642
3.2,3.227,0.088,0.113,0.665,0.642
3.21,3.237,0.088,0.116,0.664,0.641
3.22,3.247,0.088,0.119,0.664,0.641
3.23,3.257,0.088,0.121,0.663,0.64
3.24,3.267,0.088,0.124,0.663,0.64
3.25,3.277,0.088,0.127,0.662,0.639
3.26,3.287,0.088,0.129,0.661,0.639
3.27,3.297,0.088,0.132,0.661,0.639
3.28,3.307,0.088,0.135,0.66,0.638
3.29,3.317,0.088,0.137,0.66,0.638
3.3,3.327,0.088,0.14,0.659,0.637
3.31,3.337,0.088,0.143,0.658,0.637
3.32,3.347,0.088,0.145,0.658,0.637
3.33,3.357,0.088,0.148,0.657,0.636
3.34,3.367,0.088,0.15,0.656,0.636
3.35,3.377,0.088,0.153,0.656,0.636
3.36,3.387,0.088,0.155,0.655,0.635
