s,x,y,kappa
0.46,0.551044272812533,0.1557966695904251,0.25975814314293644
0.47,0.560890772691903,0.15405124872636225,0.25593622428225665
0.48,0.5707407096269441,0.1523253332152383,0.2532729859709445
0.49,0.5805941844727589,0.15061972025299986,0.251713032417004
0.5,0.590451626538439,0.14893715461180485,0.2510575759482475
0.51,0.6003136108095501,0.1472814547236147,0.25098815373486594
0.52,0.6101804664734154,0.1456550389240942,0.251115764167451
0.53,0.6200513987086811,0.14405351694351423,0.2510372595877245
0.54,0.6299257714825767,0.14247338895202313,0.25039064655419874
0.55,0.6398037474344376,0.1409158796449185,0.24890301154001265
0.56,0.6496859745095054,0.139385604143777,0.2464225648675859
0.57,0.6595732933286864,0.13788867592832682,0.24292861772733515
0.58,0.6694647298197298,0.1364190586912016,0.23852269394105366
0.59,0.6793588376794927,0.1349675508110952,0.23340217230942395
0.6,0.6892562154739876,0.133538644988207,0.22781538796701942
0.61,0.6991572896590323,0.13213551707809565,0.22201264591523753
0.62,0.7090611032660479,0.13075176466933885,0.21620767313463746
0.63,0.7189675102540455,0.12938679661604546,0.21054857620290673
0.64,0.7288772367546646,0.1280461985462564,0.20510107082425963
0.65,0.7387897580432442,0.12672630796032175,0.19985038010305478
0.66,0.7487042277700453,0.1254211390060611,0.19471757690020425
0.67,0.758621259266886,0.12413569059615158,0.1895845904716794
0.68,0.7685412068363062,0.1228728861666908,0.18432742965192636
0.69,0.7784632655201466,0.12162670178248478,0.1788545770015338
0.7,0.7883873450350234,0.12039680002101691,0.17314220389914275
0.71,0.798314019795531,0.11918806813298201,0.16725683151235612
0.72,0.8082428429546096,0.11799700199647006,0.1613566467726645
0.73,0.8181732669282893,0.1168193591521832,0.1556676729061419
0.74,0.8281059952912452,0.11566145126504122,0.15043878568756613
0.75,0.8380408584828916,0.11452192693377275,0.1458831575993384
0.76,0.847976111165701,0.11338573439935877,0.14212351318867805
0.77,0.8579120430511834,0.11225560289757612,0.13916479717165253
0.78,0.86785017346841,0.11114498221896671,0.13690100806146474
0.79,0.8777900888641772,0.11005033304072573,0.13514727360112452
0.8,0.8877311840554983,0.10896650619635294,0.1336873807087216
0.81,0.897673903182097,0.10789773682305281,0.13232042661327206
0.82,0.9076182960516904,0.10684459490138802,0.13088543036335876
0.83,0.917563913266021,0.10580306975025917,0.12925786775811282
0.84,0.9275108189944293,0.10477396584902209,0.1273293370585042
0.85,0.9374591874921047,0.10375908499430725,0.12498426653268994
0.86,0.9474087460509977,0.10275593605422424,0.12208584805755032
0.87,0.9573592700975323,0.10176242180111678,0.11848320976970139
0.88,0.9673107666591657,0.10077863405472752,0.11404438563769181
0.89,0.97726377481708,0.09981033644451408,0.10870079463300686
0.9,0.9872187590170763,0.09886257558288933,0.10248174721072184
0.91,0.9971747921960813,0.09792581308399827,0.0955275971507618
0.92,1.0071312993262693,0.09699416842494676,0.0880758545421529
0.93,1.0170886580120055,0.0960716895233012,0.08042339647278332
0.94,1.0270467599913713,0.09515722757131577,0.07287831985653188
0.95,1.0370052889038515,0.09424743585275387,0.06571362852231097
0.96,1.046964411889394,0.09334419207232171,0.05912955612086764
0.97,1.0569241370979092,0.09244759768160235,0.0532287195414782
0.98,1.0668841452784765,0.09155414822557514,0.048006514405761785
0.99,1.0768444772258634,0.09066432750349442,0.04335282523010104
1.0,1.0868052527929,0.08977948170098923,0.039062419145576274
1.01,1.0967662240495795,0.08889684552039016,0.03485924451612439
1.02,1.1067272279835934,0.08801457523859425,0.030433988713099307
1.03,1.116688357921598,0.08713370019317562,0.02548637171887954
