s,x,y,kappa,vx
38.5083898809726,1.91428566445332,-16.5650202341879,0.0793936900614784,3.24295797868611
38.8289304070821,1.60448914561342,-16.6472584693251,0.099364108158816,3.16767910248992
39.1412991429404,1.30478291789859,-16.73525731917,0.118302257907944,3.08007124203422
39.4443547495989,1.01689026187674,-16.8298914801145,0.136323329629173,2.98239384294227
39.7372677411842,0.742201506449659,-16.9316218837079,0.15329825095836,2.87787460558745
40.0195471381785,0.481768688082622,-17.040545975435,0.176807740465394,2.7701213956232
40.2910512252813,0.236255369440379,-17.1564718313584,0.189679892510089,2.66280646811123
40.5520254946763,0.00610430220233827,-17.2795573395414,0.21087239642582,2.55962544302997
40.8031261564906,-0.208914581683751,-17.4092027534789,0.217706868565074,2.46502317787511
41.0454273882322,-0.409179970750622,-17.5454756583544,0.236857750351633,2.38220700568629
41.2800405920659,-0.595571239824049,-17.6877589809646,0.220386082998983,2.30922277006752
41.5076617116741,-0.768166340172463,-17.8358957603382,0.216480775736761,2.24131231423325
41.7285569693851,-0.928049206853767,-17.9881467452306,0.204977202968888,2.17541595325061
41.9428298578208,-1.07572205123525,-18.143341376128,0.178399003389184,2.1100053428957
42.1504975054564,-1.21191558569017,-18.3001184376779,0.145402613974432,2.04330829188936
42.3513489640999,-1.3377521013339,-18.4567051439896,0.114153822986631,1.97325982607525
42.5450024515746,-1.45444824005036,-18.6112848425373,0.0871968663857407,1.89957158609984
42.7311412340587,-1.5631626818938,-18.7623990090019,0.0654499754770128,1.82292689403532
42.9094600518588,-1.66483759457919,-18.9089024368861,0.0516962441542894,1.74301823821847
43.0796021124814,-1.76012972407944,-19.0498594546165,0.0291898604262831,1.65931978765057
43.2411688750964,-1.84937229010983,-19.1845400636752,0.0180309656385602,1.57146556486879
43.3937408440933,-1.9330115108417,-19.3121437973987,0.00201005739411861,1.47946048730548
43.5369320646872,-2.0111593439122,-19.4321352811921,-0.0133301042508009,1.38398901228111
43.6705142584723,-2.08402772378758,-19.5440959931095,-0.0282075339159112,1.29106351491592
43.795178860011,-2.15223226846914,-19.6484547385275,-0.0406033293602067,1.20278647051904
43.9111400754662,-2.2160399443324,-19.7452845228652,-0.0526640860659536,1.12051038099933
44.0193092430109,-2.27601622630817,-19.8353077584399,-0.0642792303719121,1.04297617642762
44.119797679776,-2.33224409545294,-19.9185932533514,-0.0719402870972468,0.96987430979919
44.2133022177386,-2.38510154439656,-19.9957263896409,-0.0782192236114698,0.899757111090669
44.2997794243884,-2.43450072130336,-20.0667002559514,-0.118064958251394,0.832466943785448
44.3797700894688,-2.48067831846305,-20.132021698332,-0.0902096785795757,0.766173627192933
44.4529973744951,-2.52355895633587,-20.1913705274449,-0.0863810870422676,0.701057539344417
44.52029988336,-2.56336342272796,-20.2456360094612,-0.19931460095299,0.647706746828152
44.5826720596359,-2.60056750450298,-20.2956949135932,-0.00631950869764685,0.598643011639304
44.6402981516213,-2.63555283438527,-20.3414686305785,0.623683249202286,0.557222798857197
